corridor_id,name,color,order
EW,Восток–Запад,#0078BF,10
SEVER,Север,#44B85C,20
MUR,Мурманск,#B0BFE7,30
M6,М6,#FFCB31,40
KAVKAZ,Кавказ,#8E479C,50
KRASNODAR,Краснодар,#F58631,60
VLADIKAV,Владикавказ,#894E35,70
ORSK,Орск,#27303F,80
VOLGA,Поволжье,#19C1F3,90
SIBERIA,Сибирь,#79CDCD,100
KALIN,Калининград,#B3D445,120
MSK-CRM,Москва–Крым,#D92B2C,111
VVO-KRSNDR,Владивосток–Краснодар,#DE64A1,112
MNSK-MSK,Минск–Москва,#808080,130
MSK-BLG,Москва–Белгород,#FF0000,140
BIG-CITY,От крупных городов,#555555,150
