line_id,variant_id,seq,city_id
EW-1,1,1,Владивосток
EW-1,1,2,Уссурийск
EW-1,1,3,Хабаровск
EW-1,1,4,Биробиджан
EW-1,1,5,Благовещенск
EW-1,1,6,Свободный
EW-1,1,7,Сковородино
EW-1,1,8,Чита
EW-1,1,9,Улан-Удэ
EW-1,1,10,Иркутск
EW-1,1,11,Тулун
EW-1,1,12,Красноярск
EW-1,1,13,Боготол
EW-1,1,14,Кемерово
EW-1,1,15,Новосибирск
EW-1,1,16,Омск
EW-1,1,17,Ишим
EW-1,1,18,Тюмень
EW-1,1,19,Екатеринбург
EW-1,1,20,Набережные Челны
EW-1,1,21,Казань
EW-1,1,22,Чебоксары
EW-1,1,23,Нижний Новгород
EW-1,1,24,Владимир
EW-1,1,25,Москва

EW-2,1,1,Владивосток
EW-2,1,2,Уссурийск
EW-2,1,3,Хабаровск
EW-2,1,4,Биробиджан
EW-2,1,5,Благовещенск
EW-2,1,6,Свободный
EW-2,1,7,Сковородино
EW-2,1,8,Чита
EW-2,1,9,Улан-Удэ
EW-2,1,10,Иркутск
EW-2,1,11,Тулун
EW-2,1,12,Красноярск
EW-2,1,13,Боготол
EW-2,1,14,Кемерово
EW-2,1,15,Новосибирск
EW-2,1,16,Омск
EW-2,1,17,Курган
EW-2,1,18,Челябинск
EW-2,1,19,Уфа
EW-2,1,20,Набережные Челны
EW-2,1,21,Казань
EW-2,1,22,Чебоксары
EW-2,1,23,Нижний Новгород
EW-2,1,24,Владимир
EW-2,1,25,Москва


MSK-RSTDN,1,1,Москва
MSK-RSTDN,1,2,Елец
MSK-RSTDN,1,3,Воронеж
MSK-RSTDN,1,4,Каменск-Шахтинский
MSK-RSTDN,1,5,Ростов-на-Дону

RST-KRD,1,1,Ростов-на-Дону
RST-KRD,1,2,Краснодар

MSK-RST,1,1,Москва
MSK-RST,1,2,Елец
MSK-RST,1,3,Воронеж
MSK-RST,1,4,Каменск-Шахтинский
MSK-RST,1,5,Ростов-на-Дону
MSK-RST,1,6,Невинномысск
MSK-RST,1,7,Минеральные Воды
MSK-RST,1,8,Нальчик
MSK-RST,1,9,Владикавказ
MSK-RST,1,10,Грозный
MSK-RST,1,11,Махачкала

MSK-VLG,1,1,Москва
MSK-VLG,1,2,Тамбов
MSK-VLG,1,3,Волгоград
MSK-VLG,1,4,Элиста

ELI-GRZ-MAH,1,1,Элиста
ELI-GRZ-MAH,1,2,Будённовск
ELI-GRZ-MAH,1,3,Грозный
