line_id,corridor_id,name,short_name,color,style,bidirectional,visible_default,draw_order
EW-1,EW,Восток–Запад Тюмень,EW-1,#52C234,solid,1,1,100
EW-2,EW,Восток–Запад Уфа,EW-2,#7ED957,solid,1,1,101

MSK-RSTDN,KRASNODAR,Москва Ростов,MSK-RST,#CC5500,solid,1,1,200
RST-KRD,KRASNODAR,Ростов Краснодар,RST-KRD,#FF7A1A,solid,1,1,201

MSK-RST,VLADIKAV,Москва Владикавказ,MSK-VLD,#FF8F1F,solid,1,1,210

MSK-VLG,M6,Москва Элиста,MSK-ELI,#1A73E8,solid,1,1,220
ELI-GRZ-MAH,M6,Элиста Грозный Махачкала,ELI-GRZ,#4C92F0,solid,1,1,221
ELI-AST-MAH,M6,Элиста Астрахань Махачкала,ELI-AST,#1558B0,solid,1,1,222

VLG-ELI-VLD,KAVKAZ,Волгоград Элиста Владикавказ,VLG-VLD,#F40009,solid,1,1,230
VLG-SRT-TLT,KAVKAZ,Волгоград Саратов Тольятти,VLG-TLT,#F40009,solid,1,1,231


MSK-MUR-SPB,MUR,Москва Мурманск Петербург,MSK-MUR-SPB,#00B7FF,solid,1,1,400
MSK-MUR-YAR,MUR,Москва Мурманск Ярославль,MSK-MUR-YAR,#66D6FF,solid,1,1,401

SYK-YAR-MSK,VOLGA,Сыктывкар Ярославль Москва,SYK-MSK,#8B4513,solid,1,1,500
YOL-CHB-MSK,VOLGA,Йошкар-Ола Москва,YOL-MSK,#A96A3B,solid,1,1,501
MSK-VOLGA-TLT,VOLGA,Москва Тольятти Волга,MSK-TLTVOL,#6D3510,solid,1,1,502
MSK-TLT,VOLGA,Москва Тольятти,MSK-TLT,#8B4513,solid,1,1,503
OMSK-VLG,VOLGA,Омск Волгоград,OMSK-VLG,#8B4513,solid,1,1,504
OMSK-NCH-IZH,VOLGA,Омск Челны Тюмень,OMSK-NCH-TMN,#8B4513,dashed,1,1,505
OMSK-NCH-UFA,VOLGA,Омск Челны Уфа,OMSK-NCH-UFA,#8B4513,dotted,1,1,506

SRG-EKB,SEVER,Сургут Екатеринбург,SRG-EKB,#009A49,solid,1,1,600
EKB-MSK-KIR,SEVER,Екатеринбург Москва Киров,EKB-MSK-KIR,#33B86A,solid,1,1,601
EKB-MSK-IZH,SEVER,Екатеринбург Москва Ижевск,EKB-MSK-IZH,#007A3A,solid,1,1,602
NRG-SRG,SEVER,Новый Уренгой Сургут,NRG-SRG,#009A49,solid,1,1,603
KHM-SRG,SEVER,Ханты-Мансийск Сургут,KHM-SRG,#33B86A,solid,1,1,604
NVV-SRG,SEVER,Нижневартовск Сургут,NVV-SRG,#007A3A,solid,1,1,605

AB-1,SIBERIA,Кызыл Абакан Барнаул,AB-1,#6D4C41,solid,1,1,700
NVKZ,SIBERIA,Новокузнецк Кемерово,NVKZ,#8D6E63,solid,1,1,701
BIYSK,SIBERIA,Бийск Барнаул,BIYSK,#5A3E35,solid,1,1,702
CHT-MAG,SIBERIA,Сковородино Магадан,CHT-MAG,#8B4513,solid,1,1,704
NR-VL,SIBERIA,Уренгой Владивосток,NR-VL,#6D4C41,solid,1,1,705
TOM-NOVK,SIBERIA,Томск Новокузнецк,TOM-NOVK,#6D4C41,solid,1,1,706
NSK-GALT,SIBERIA,Новосибирск Горно-Алтайск,NSK-GALT,#6D4C41,solid,1,1,707
KRS-KYZ,SIBERIA,Красноярск Кызыл,KRS-KYZ,#6D4C41,solid,1,1,708

KAL,KALIN,Москва Петербург Калининград,KAL,#C0CA33,solid,1,1,800
ORSK,ORSK,Тольятти Орск,ORSK,#BDBDBD,solid,1,1,810
EKB-MSK-NCH,SEVER,Екатеринбург Москва Челны,EKB-MSK-NCH,#009A49,solid,1,1,612
MSK-CRM-MEL,MSK-CRM,Москва Крым Мариуполь,MSK-CRM-MEL,#7E57C2,solid,1,1,310
MSK-CRM-KRC,MSK-CRM,Москва Крым Краснодар,MSK-CRM-KRC,#7E57C2,solid,1,1,311
VVO-KRSNDR-1,VVO-KRSNDR,Владивосток Краснодар 1,VVO-KRSNDR-1,#40E0D0,solid,1,1,720
VVO-KRSNDR-2,VVO-KRSNDR,Владивосток Краснодар 2,VVO-KRSNDR-2,#40E0D0,solid,1,1,721
VVO-KRSNDR-3,VVO-KRSNDR,Владивосток Краснодар 3,VVO-KRSNDR-3,#40E0D0,solid,1,1,721
VVO-KRSNDR-4,VVO-KRSNDR,Владивосток Краснодар 4,VVO-KRSNDR-4,#40E0D0,solid,1,1,721
